,href,job_title,company_name,job_loc,details,category,compensation,applyBy,start,end,skills
0,http://letsintern.com/internship/Advertising-Sales-Agent-internships/Prestige-City/Prestige-City-In-www-prestigecity-gen-in/127541,Prestige City In www.prestigecity.gen.in,Prestige City,Bangalore,"About Internship:        Prestige City offers its residential apartments along with various size villas and plots in Sarjapur Road Bangalore.The Prestige City is a municipality project comprising of plots, extravagance high rises, great manors and business spaces. It is perhaps the best venture to investigate in 2021.To visit Prestige City with our special assistance please visit - https://www.prestigecity.gen.in/contact.html        Roles and Responsibilities:        1.Improve our website ranking in google search engine.2.Update your SEO skills.3.Good beheaviour with customer.        Perks:        1.weekly off.2.Free snacks.",Advertising Sales Agent,Recurring,Apply by 17th Sep `21,19th May 2021,15th Jan 2022,Skills Required         Artificial Intelligence
1,http://letsintern.com/internship/Digital-Marketing-Professional-internships/TABEAZY-PRIVATE-LIMITED/Design-Creative-Associate/127646,Design Creative Associate,TABEAZY PRIVATE LIMITED,"Hyderabad,              Visakhapatnam,              Bangalore,              Mumbai,              Pune,              Bhubaneswar,              Chennai,              Delhi","About Internship:        We are looking for candidates who have confidence and enthusiasm to understand the audience and create eye-catching creatives using Ai or Canva for creating beautiful banners, infographics, animations, and presentations to post in Social media channels and in other digital marketing channels. There is also a scope to convert to full time if candidate performs well.Note: > Requires a Laptop or Desktop.        Roles and Responsibilities:        1. Create banners as per requirement for our website2. Keeping up with current trend and making relevant banners3.        Perks:        1. experience certificate2. remuneration3. Get hands on with digital Marketing",Digital Marketing Professional,Recurring,Apply by 31st May `21,31st May 2021,30th Jul 2021,Skills Required         Digital Marketing
2,http://letsintern.com/internship/Software-Developer-internships/CodeSpeedy-Technology-Private-Limited/Computer-Programming-Internship/124054,Computer Programming Internship,CodeSpeedy Technology Private Limited,"Hyderabad,              Patna,              Ahmedabad,              Surat,              Bangalore,               Anywhere in India Mumbai,              Chennai,              Kolkata,              Delhi","About Internship:        In this software development internship, you will be working on your coding skills. So it is not that you will have to develop the full software on your own. Here you will have to solve coding problems in the best possible ways.This internship is only for those who are in love with computer programming.You can choose your preferred programming language here.If you are good at C++ then you will be assigned as a ""C++ Programmer Intern""If you are good at Java then you will be assigned as a ""Java Programmer Intern""If you are good at Python then you will be assigned as a ""Python Programmer Intern""If you are good at Machine Learning then you will be assigned as a ""Machine Learning Intern"" (You must have to choose Python, not R)        Roles and Responsibilities:        Basically, the roles will be depending on your skillsets. If you are good at programming rather than explaining your codes then the roles will be1. Solve a programming task2. Submit it on our portal with proper documentation/description3. Run the project and check if any errors are thereIf you are good at explaining your codes:1. Write good tutorial on a particular coding problem2. Show the output3. Write proper description and understandable codes        Perks:        1. Offer letter before joining.2. Internship certificate at the end of this internship.3. Letter of recommendation based on the performance.4. Flexible timing.5. Leave during exams and medical issues.6. Guidance during the internship period.",Software Developer,Unpaid,Apply by 19th Dec `20,18th Dec 2020,18th Jan 2021,Skills Required         JavaScript                C++                Java                Python
3,http://letsintern.com/internship/Marketing-Assistant-internships/iFORTIS/MARKETING-AND-SALES/127771,MARKETING AND SALES,iFORTIS,Bangalore,About Internship:        WE ARE SEEKING FOR CANDIDATES WHO ARE WILLING TO GAIN EXPERIENCE IN MARKETING AND SALES. DEVELOP AND IMPLEMENT A DIGITAL MARKETING STRATEGY. GENERATE SALES.        Roles and Responsibilities:        1.REPRESENTING OUR COMPANY IN YOUR FRIENDS AND FAMILY CIRCLE THROUGH PORTALS.2.EXPLAIN EVENT DETAILS.3.DEVELOP AND IMPLEMENT DIGITAL MARKETING STRATEGY        Perks:        1.CERTIFICATE OF EXCELLENCE.2.CERTIFICATE/LETTER OF RECOMMENDATION.3.MONTHLY REWARDS ARE BASED ON PERFORMANCE.,Marketing Assistant,One-Time,Apply by 30th May `21,3rd Jun 2021,3rd Jul 2021,Skills Required         Marketing
4,http://letsintern.com/internship/Web-Developer-internships/Software-Labs/Web-API-Developer-Intern/122635,Web API Developer Intern,Software Labs,Chandigarh,"About Internship:        About Software LabSoftware Lab takes IT software services out of the dark ages bringing radical cost savings to large businesses while simultaneously delivering a fundamentally higher quality product. It turns out, it's never a bad idea to use such proven principles as assembly lines, specialized machine tooling, Lean manufacturing, Kaizen, Kanban, continuous integration, and continuous quality.        Roles and Responsibilities:        1. Work with development teams and product managers to ideate software solutions2. Design client-side and server-side architecture3. Build the front-end of applications through appealing visual design4. Develop and manage well-functioning databases and applications5. Write effective APIs6. Work on WordPress and WooCommerce7. Work on testing and improving the design of the website8. Establish design guidelines, standards, and best practices9. Maintain the appearance of websites by enforcing content standards11. Prepare design plans and present the website structure12. Communicate design ideas using user flows, process flows, site maps, and wireframes12. Incorporate functionalities and features into websites10. Design sample pages including colors and fonts        Perks:        1. Work from home2. Flexible working hours",Web Developer,Recurring,Apply by 1st Nov `20,10th Oct 2020,29th Dec 2020,Skills Required         JavaScript                PHP                CSS                HTML                API                NodeJS
5,http://letsintern.com/internship/Human-Resources-Manager-internships/Aashman-Foundation/Online-Intern/128145,Online Intern,Aashman Foundation,Panchkula,"About Internship:        ABOUT THE ORGANISATION**Aashman Foundation is a non for profit organisation working resolutely towards promoting the cause of women, empowering single income families and promoting child education, through its various livelihood programs. Through our various endeavours our aim is to protect and promote the well being of underprivileged sections of the society and create a positive impact as responsible stakeholders of society.**BENEFITS***ONLINE/WORK FROM HOME INTERNSHIP**ADD VALUE TO YOUR RESUME*  *"" GREAT OPPORTUNITY DON'T MISS IT ""***PERKS**1. CERTIFICATE OF COMPLETION. 2. LETTER OF RECOMMENDATION. 3. OFFER LETTER. ** INTERNSHIP DETAILS***Vacancy dates*1) Social Media Marketing : ?Duration 3 months2) Sales & Marketing: ?Duration 3 Months3) HR : ?Duration 6,12 months** ROLES**1) *Social Media Marketing:*They should own a account on Facebook, Instagram and WhatsApp They need to use these 3 platforms to create awareness about Aashman Foundation and make its voice reach to masses using social media.2) *Marketing & sales*Generate funds for the organisation to support the needy, collaboration with brands & individuals for gathering either funds or brand awareness, branding, lead generation, client relationship management, etc. 3) *Human Resources (HR):*Recruitment, interviewing, handling candidates, handling departments. *Hope all the job descriptions are clear now*        Roles and Responsibilities:        ** INTERNSHIP DETAILS***Vacancy dates*1) Social Media Marketing : ?Duration 3 months2) Sales & Marketing: ?Duration 3 Months3) HR : ?Duration 6,12 months** ROLES**1) *Social Media Marketing:*They should own a account on Facebook, Instagram and WhatsApp They need to use these 3 platforms to create awareness about Aashman Foundation and make its voice reach to masses using social media.2) *Marketing & sales*Generate funds for the organisation to support the needy, collaboration with brands & individuals for gathering either funds or brand awareness, branding, lead generation, client relationship management, etc. 3) *Human Resources (HR):*Recruitment, interviewing, handling candidates, handling departments. *Hope all the job descriptions are clear now*        Perks:        1.CERTIFICATE OF COMPLETION. 2.LETTER OF RECOMMENDATION. 3.OFFER LETTER.",Human Resources Manager,Unpaid,Apply by 10th Jun `21,5th Jun 2021,30th Aug 2021,Skills Required         Accounting
6,http://letsintern.com/internship/Financial-Analyst-internships/Globalinvest/Stock-Market-Strategist/127570,Stock Market Strategist,Globalinvest,Anywhere in India,"About Internship:        Looking for expert in Stock market trading and especially in option trading , who can help to make the strategies including in stocks and option trading,.        Roles and Responsibilities:        1.stock market related 2. derivatives and equity related3. option strategy related exoert who have good knowledge and experience",Financial Analyst,Expenses Covered,Apply by 30th May `21,21st May 2021,12th Aug 2021,Skills Required         Financial and Banking Services
7,http://letsintern.com/internship/Digital-Marketing-Manager-internships/Ifortis-corporate/Marketing-and-sales-intern/127998,Marketing and sales intern,Ifortis corporate,"Hyderabad,              Mumbai,              Delhi","About Internship:        We are seeking an individual who will promote and generate our sales. Develop and implement marketing strategies. Who as good skills in branding and sales        Roles and Responsibilities:        1.promote and generate sales for our company in your friends and family circles.2. Develop and implement marketing strategies.3.create and run campaigns online to drive website traffics, brand awareness and visibility        Perks:        1.letter of excellence.2.letter of recommendations. 3. Corporate rewards based on performance. Gift vouchers etc.4. Chance to work with collaborating companies worldwide",Digital Marketing Manager,Unpaid,Apply by 5th Jun `21,8th Jun 2021,8th Jul 2021,Skills Required         Analytical Skills                Agreeableness
8,http://letsintern.com/internship/Human-Resources-Recruiter-internships/Buzibrains/HR-Internship/127631,HR Internship,Buzibrains,Anywhere in India,"About Internship:        Duration- 30-45 days.TYPE- WORK FROM HOME.*Internship with security the security of Rs.1,000/-(100% refundable on completion of internship) and you will also get letter of recommendation.*The second is with without security but you will get a confirmation letter from the company.SKILL REQUIRED- All student pursing a degree /post degree, Any graduate, with strong social media marketing skills.ROLES AND RESPONSIBILITIESPost the job description for the available position in the social network as well as various social media portals.Actively participate in the recruitment process.Contact prospective candidates and conduct an interview.Complete the joining formalities for the selected candidates.PERKS:Certificate of completion.Letter of recommendation.Stipend- Rs.3000/- to Rs.9000/-(based on the performance)Employment TypeInternship        Roles and Responsibilities:        Targets will be set differently for security and without.Intern need to do the hiring of InternsFill this up https://forms.gle/LfC6TA17JbRawZC17",Human Resources Recruiter,One-Time,Apply by 7th Jun `21,31st May 2021,14th Aug 2021,Skills Required         MS Excel
9,http://letsintern.com/internship/Real-Estate-Sales-Agent-internships/Brigade-Utopia/Brigade-Utopia-Real-Estate-Agencies/123392,Brigade Utopia Real Estate Agencies,Brigade Utopia,Bangalore,"About Internship:        The person who are intrested in real estate agencies please feel free to apply for this job.The builder is guaranteed to bring a quality living experience to the community of Varthur Road, East Bangalore with brilliant architecture and equivalent lifestyle in Brigade Cornerstone Utopia.Visit - https://www.brigadeutopia.org.in/contact.htmlRefer - https://www.brigadecornerstoneutopia.net.in/contact.html        Roles and Responsibilities:        1. Developing and managing digital marketing campaigns2. Research on targeting tactics & brand guidelines.3. Devising strategies to drive online traffic to the company website.4.Track, analyze and optimize digital marketing efforts5.Monday to Saturday working days        Perks:        1.SEO knowledge2.Hike after 3-5 months",Real Estate Sales Agent,Expenses Covered,Apply by 18th Nov `20,2nd Nov 2020,Nov ---- Nov -,Skills Required         Analytical Skills                Accounts Payable
10,http://letsintern.com/internship/Sales-Professional-internships/FEELASM-HEALTHY-LIFESTYLE-PRIVATE-LIMITED/Sales-Execative/126063,Sales Execative,FEELASM HEALTHY LIFESTYLE PRIVATE LIMITED,Pune,"About Internship:        We are seeking a Sales Execative who will help us plan, optiomize our marketing channels. You will work & collaborate wilth Seniour members to track and measure performance, and provide results for all Sales category        Roles and Responsibilities:        1. Developing and managing digital marketing campigns2. Research on targeting tactics & Brand Guidlines3. Devising Strategies to drive online traffic to the company websites        Perks:        1. Internship Certificate2. Flexible Working Hours",Sales Professional,Unpaid,Apply by 3rd Aug `21,6th Mar 2021,30th Dec 2021,Skills Required         Marketing                Sales Situation Handling - Basic
11,http://letsintern.com/internship/Software-Developer-internships/TechCiti-Technologies-Pvt-Ltd-/Full-Stack-Development-Internship/111992,Full Stack Development Internship,TechCiti Technologies Pvt.Ltd.,Bangalore,"About Internship:        Full Stack Development Internship: Eligibility: Students who are pursuing:- BE/BTech- BCA- MTech - MCAObjectives of internship: -Working on the project(Front end and back end)-Necessary training will be provided.-Can be working on any of these domains: Java, Web, PythonInternship Duration: 1 Month –6 Months.        Roles and Responsibilities:        - Working on the project- Working on both front end and back end of the project, Database connectivity        Perks:        1. Internship Experience Certificate2. Flexible working hours",Software Developer,Unpaid,Apply by 13th Nov `19,12th Aug 2019,12th Feb 2020,Skills Required         HTML
12,http://letsintern.com/internship/Software-Developer-internships/LIVE-STREAM-TECHNOLOGIES/Summer-Internship-training-in-coimbatore/126008,Summer Internship training in coimbatore,LIVE STREAM TECHNOLOGIES,Coimbatore,"About Internship:        ***Summer Internship Program 2021***Why Intern?Are you ready to start your internship program? You need experience to get experience. This seems to be the biggest issue for young adults transitioning into the workforce these days. Employers in today's labor market rely heavily on resumes that illustrate a relevant work history, whether that's from internships, volunteer work, or actual job experience.A practical work background carries a major significance when attempting to enter the job market. It's all about competition. Even your buddy who graduated with you in college has become your competition. Take a moment and think about it. If you're looking to gain experience, working as an intern is arguably the most advantageous plan of action.That one internship you will do over summer could be the difference between winning a job opportunity or losing it.Why Intern in LST?           Our motto “Hard work on smart ideas”      LST offers Summer Internship Program 2020 for the department of BE/B.Tech,Bsc(CS),Bsc(IT),BCA,ME/M.Tech,Msc(CS),Msc(IT),MCA,M.sc(Datascience),M.Sc(Decision & Computing science, M. Tech in Software Engineering Students. We deliver carrier oriented Live project training to the students during their Intern period, on different technology platforms like MERN(MongoDB, ExpressJS, ReactJS, NodeJS) ,MEAN(MongoDB, ExpressJS, AngularJS, NodeJS),Python, Php, Android, Java, Laravel Framework, Django Framework, R Language, Datascience/ Machine Learning/ Artificial Intelligence With Python, Angular Js, Node Js, Jquery,React Js,React Native, Mysql &MongoDB.We Live Stream Technologies have experienced technical expertise who will guide the students to develop their projects.Enroll for this Summer Internship program by sending your details to the mentioned E-mail id or Call to the Mentioned number for doubts and clarifications. Offers are available on the basis of First come first serve. Refer Company website for details.Batch Details:• Maximum 10 members per Batch• 4 Batches are scheduled• Both Theory and Practical hands-on sessions will be provided for real time experience for the Interns.• Certifications will be provided.• Duration from Minimum 6days-6months.Address:LIVE STREAM TECHNOLOGIES,No 207, AK Complex- 2nd Floor, 6th Street, Cross Cut Road,Opp Shree Devi Textiles (2nd Car Parking),Gandhipuram, Coimbatore-641012.        Roles and Responsibilities:        1. Requires the highest level of professionalism, which includes arriving on time for designated work.2. Notifying the faculty of any deviations from the established schedule, and dressing to the standards of the organization and the work being performed.3. Respect the organization’s reporting structure and follow the policies and procedures of the organization.4. Communicate effectively with the respective staff.5. Complete and submit to the faculty Weekly Time Logs. Complete and discuss with the faculty the midterm and final evaluations.        Perks:        1.Internship Completion certificate2.Flexible working hours3. Placement support4. Technology completion certificate",Software Developer,Unpaid,Apply by 14th Nov `21,31st Mar 2021,29th Jun 2022,Skills Required         JavaScript                PHP                MySQL                Android Studio                Java                MongoDB                Python                HTML5                CSS3
13,http://letsintern.com/internship/Tax-Accountant-internships/MyFilings/Virtual-Content-writer-on-finance-tax-law/128095,"Virtual Content writer on finance, tax, law",MyFilings,Bangalore,"About Internship:        About Internship:Virtual Content Writers - Finance, Tax & Company LawDesirable skill set/s:Candidate should be well versed with computer, MS Office (Word, Excel, etc.) Skilled in English, both verbal and written.Should be well finance, tax & law.Sound Research and Analytics skills        Roles and Responsibilities:        1.Writing well-researched, informative content relating to finance, tax & company law etc2. Finalize the articles for publishing after through checks.3. Ensuring strict adherence to the existing process and looking for ways of improving it.4. Content must be authentic & error-free.5. Meeting deadlines under all circumstances.",Tax Accountant,Recurring,Apply by 6th Jun `21,6th Jun 2021,6th Oct 2021,Skills Required         Search Engine Optimization                Writing Skills
